ASPECT RATIOS FOR JACOBIAN
2.7893612078977963 #524, triangle 175
-0.9890822937820365 #525, triangle 175
2.784023082175172 #526, triangle 176
-0.8190074202130613 #527, triangle 176
-0.009872497920236463 #528, triangle 176
2.99896587383662 #529, triangle 177
-0.9665401459853964 #530, triangle 177
18.049167327516788 #531, triangle 177
3.967250283411004 #532, triangle 178
-0.901271605050162 #533, triangle 178
7.316712444538317 #534, triangle 178
2.593140628584558 #535, triangle 179
3.831796294784926 #536, triangle 179
-0.9155795069374998 #537, triangle 179
-0.6026736566186038 #538, triangle 180
2.287239111788815 #539, triangle 180
7.544745296007299 #540, triangle 180
-0.9072696975726171 #541, triangle 181
2.6744927012247657 #542, triangle 181
36.032936229853945 #543, triangle 181
3.233704129906647 #544, triangle 182
2.488912269342813 #545, triangle 182
-0.9382903162161687 #546, triangle 182
3.603379040156695 #547, triangle 183
2.8092808694462446 #548, triangle 183
-0.9458363835297247 #549, triangle 183
3.502189511448813 #550, triangle 184
2.6786446575399165 #551, triangle 184
-0.9403143989889383 #552, triangle 184
1.7473118279570115 #553, triangle 185
1.1239193083573324 #554, triangle 185
-0.8694758478931169 #555, triangle 185
2.692988621151273 #556, triangle 186
-0.9110149522299807 #557, triangle 186
52.89305555555784 #558, triangle 186
2.756947945294569 #559, triangle 187
3.8031035083137623 #560, triangle 187
-0.9313034159765051 #561, triangle 187
-0.23697135061391464 #562, triangle 188
3.2331070158423176 #563, triangle 188
-0.034486329743156095 #564, triangle 188
2.5431255903358974 #565, triangle 189
1.4478945895149415 #566, triangle 189
-0.5920217311683524 #567, triangle 189
5.419244823386025 #568, triangle 190
1.2475639464068426 #569, triangle 190
-0.23263250783267883 #570, triangle 190
-0.8857957181679622 #571, triangle 191
2.57215074481533 #572, triangle 191
-0.09424444687603149 #573, triangle 191
1.6777091521616732 #574, triangle 192
2.9631894484411543 #575, triangle 192
-0.7291175082586061 #576, triangle 192
-0.2689141250752998 #577, triangle 193
2.0979807051598094 #578, triangle 193
3.506066991208507 #579, triangle 193
7.407243193966892 #580, triangle 194
-0.26531241059048777 #581, triangle 194
-0.01176966253958525 #582, triangle 194
6.046004746835431 #583, triangle 195
-0.22441587955400152 #584, triangle 195
-0.05212672071789537 #585, triangle 195
-0.578871878337822 #586, triangle 196
2.4804683557081115 #587, triangle 196
5.987269439421485 #588, triangle 196
-0.5087870222440677 #589, triangle 197
2.4934290383935234 #590, triangle 197
3.0736783259430442 #591, triangle 197
1.1928373893805118 #592, triangle 198
-0.8554635761589321 #593, triangle 198
22.53806818181555 #594, triangle 198
7.216474133601195 #595, triangle 199
6.338512631953439 #596, triangle 199
-0.155510440835268 #597, triangle 199
2.5156098364858077 #598, triangle 200
1.656768368956327 #599, triangle 200
2.0824271079588876 #600, triangle 200
-0.37324055037165527 #601, triangle 201
2.035552457302222 #602, triangle 201
2.2847873942764134 #603, triangle 201
4.561859080383792 #604, triangle 202
-0.3679294239751077 #605, triangle 202
15.594105631748945 #606, triangle 202
4.342945929148561 #607, triangle 203
-0.4171082452836246 #608, triangle 203
-0.038521673003800945 #609, triangle 203
-0.47892942499648533 #610, triangle 204
1.8829716079716166 #611, triangle 204
12.475231481482268 #612, triangle 204
3.1747301526473697 #613, triangle 205
47.4386873920555 #614, triangle 205
-0.25080738429310295 #615, triangle 205
4.567070567760207 #616, triangle 206
7.9674085443845435 #617, triangle 206
-0.1626425500656306 #618, triangle 206
1.9678050902761877 #619, triangle 207
-0.4191741746964891 #620, triangle 207
2.4508021813009617 #621, triangle 207
-0.5054608786236242 #622, triangle 208
2.105931979963083 #623, triangle 208
-0.17645326881472595 #624, triangle 208
3.84778247734135 #625, triangle 209
-0.37318354804593373 #626, triangle 209
-0.0671934962305923 #627, triangle 209
1.9431462919392655 #628, triangle 210
3.768280169529336 #629, triangle 210
-0.3697517157852289 #630, triangle 210
-0.7569883966244855 #631, triangle 211
1.1720639943741171 #632, triangle 211
-0.14184247538677872 #633, triangle 211
2.225513031112829 #634, triangle 212
3.5625729752680035 #635, triangle 212
-0.6190479657512302 #636, triangle 212
-0.4995044197665697 #637, triangle 213
1.0507340921701818 #638, triangle 213
-0.5547350312591709 #639, triangle 213
-0.5636211432671626 #640, triangle 214
2.5550747442958155 #641, triangle 214
3.47850678733031 #642, triangle 214
2.6261396534589347 #643, triangle 215
5.49769246635389 #644, triangle 215
-0.6009213083042644 #645, triangle 215
-0.47207712210713254 #646, triangle 216
2.240376479536052 #647, triangle 216
2.9472661521023324 #648, triangle 216
2.2485101883890763 #649, triangle 217
6.4077934258096265 #650, triangle 217
-0.5629335176863692 #651, triangle 217
-0.6012186777021082 #652, triangle 218
2.781215737539025 #653, triangle 218
3.8396581464638437 #654, triangle 218
6.1380662455620305 #655, triangle 219
-0.5575758310648176 #656, triangle 219
14.621480527616258 #657, triangle 219
4.819806739097759 #658, triangle 220
-0.712584539920407 #659, triangle 220
11.293415329233415 #660, triangle 220
1.853773779556806 #661, triangle 221
5.247463451003234 #662, triangle 221
-0.5674235148351532 #663, triangle 221
3.0165787860208435 #664, triangle 222
