SKEWS FOR JACOBIAN
-0.010960782039249602 #447, triangle 149
1.7687730816578118 #448, triangle 150
2.1476798505138808 #449, triangle 150
4.295290306504075 #450, triangle 150
0.16444164888415994 #451, triangle 151
-0.10296662024729297 #452, triangle 151
0.1376290580949637 #453, triangle 151
0.06451376027022777 #454, triangle 152
0.13116129941092722 #455, triangle 152
0.012019950774200143 #456, triangle 152
0.1035445241453808 #457, triangle 153
0.2996209826271966 #458, triangle 153
0.32155225951559063 #459, triangle 153
0.1980455820544935 #460, triangle 154
0.22148424328256047 #461, triangle 154
-0.011887380530786026 #462, triangle 154
-0.08005637221319603 #463, triangle 155
-0.03810853567151096 #464, triangle 155
-0.007644559569125475 #465, triangle 155
-0.40305722498040786 #466, triangle 156
-0.6025770644266109 #467, triangle 156
-0.5794850177528852 #468, triangle 156
-7.739224873553253 #469, triangle 157
-4.504010055063375 #470, triangle 157
10.923057953143537 #471, triangle 157
-0.5451631282323884 #472, triangle 158
-0.5193623524662747 #473, triangle 158
-0.32182054897093043 #474, triangle 158
-0.14077825280067272 #475, triangle 159
0.08990215458354553 #476, triangle 159
-0.4374169138701391 #477, triangle 159
-0.030535765261808647 #478, triangle 160
-0.00434253551902489 #479, triangle 160
0.015668168908428984 #480, triangle 160
-0.6121058363151145 #481, triangle 161
-0.575823778412795 #482, triangle 161
-0.2975315849185439 #483, triangle 161
-0.6961643688118192 #484, triangle 162
-0.656235934521705 #485, triangle 162
-0.3585744152190811 #486, triangle 162
0.0034020182488393442 #487, triangle 163
-0.18501975851858013 #488, triangle 163
-0.16342956847666273 #489, triangle 163
0.0467886828156601 #490, triangle 164
0.24966107520311534 #491, triangle 164
0.27233905437038564 #492, triangle 164
-0.4670842240720897 #493, triangle 165
-0.4196203095754496 #494, triangle 165
-0.10392195067638552 #495, triangle 165
-7.306463414634121 #496, triangle 166
-1.9059473684210038 #497, triangle 166
-9.089947856315277 #498, triangle 166
-3.756196256955033 #499, triangle 167
-1.0673779885398356 #500, triangle 167
-4.512034362734209 #501, triangle 167
-7.220769828301945 #502, triangle 168
-5.891084020898117 #503, triangle 168
-1.6499897477958012 #504, triangle 168
-2.2280366648959586 #505, triangle 169
-1.9406470381962855 #506, triangle 169
-0.6244487235232123 #507, triangle 169
-0.8610462482138584 #508, triangle 170
-3.0906282906282954 #509, triangle 170
-2.6566200215285374 #510, triangle 170
-1.457279632493408 #511, triangle 171
-0.3855609101445529 #512, triangle 171
-1.6610729821169716 #513, triangle 171
-1.6856392294220632 #514, triangle 172
-1.449545913218964 #515, triangle 172
-0.3508557457212739 #516, triangle 172
-2.0547236820003403 #517, triangle 173
-1.6683766801877111 #518, triangle 173
-1.4556216275740563 #519, triangle 173
-0.975827038291223 #520, triangle 174
-0.10269855480239479 #521, triangle 174
-1.1604933819021201 #522, triangle 174
-0.046107115968754525 #523, triangle 175
-0.8759514331873264 #524, triangle 175
-0.7420146459264183 #525, triangle 175
-0.8135803738835291 #526, triangle 176
-0.6864503260163926 #527, triangle 176
0.031161245378052975 #528, triangle 176
-0.9098119122257062 #529, triangle 177
-0.7758698803914558 #530, triangle 177
-0.1406110615521931 #531, triangle 177
-0.9087312674625349 #532, triangle 178
-0.8032396622015093 #533, triangle 178
-0.32618883528600956 #534, triangle 178
-0.30821289286533343 #535, triangle 179
-0.9141658324636327 #536, triangle 179
-0.8037503962544819 #537, triangle 179
-0.4951202914904409 #538, triangle 180
0.06861717335368517 #539, triangle 180
-0.5984841314335263 #540, triangle 180
-0.6754462301881171 #541, triangle 181
-1.0675295390998374 #542, triangle 181
-0.8248816876554103 #543, triangle 181
-1.1225089433925386 #544, triangle 182
-0.8878483399993453 #545, triangle 182
-0.7362485065710823 #546, triangle 182
-1.0894432928634947 #547, triangle 183
-0.9159685499582513 #548, triangle 183
-0.798959720372836 #549, triangle 183
-1.0996338998774149 #550, triangle 184
-0.9064894497150779 #551, triangle 184
-0.777688788238647 #552, triangle 184
-1.4019607843137645 #553, triangle 185
-0.5284900284900572 #554, triangle 185
-0.1335697399527189 #555, triangle 185
-0.9141692505576836 #556, triangle 186
-0.7939838843376367 #557, triangle 186
-1.0902502428905299 #558, triangle 186
-0.32759826321696234 #559, triangle 187
-0.9209533892242912 #560, triangle 187
-0.8175125023152445 #561, triangle 187
0.19193370165745724 #562, triangle 188
0.37973999999999897 #563, triangle 188
-0.08051257253382929 #564, triangle 188
-0.1427411470329984 #565, triangle 189
-1.9287440447421005 #566, triangle 189
-1.3334020724854427 #567, triangle 189
-1.1819036018792364 #568, triangle 190
1.247563946406857 #569, triangle 190
-4.421193666260625 #570, triangle 190
-0.5439817641551653 #571, triangle 191
0.5715292021463835 #572, triangle 191
-0.8414123279473382 #573, triangle 191
1.6350066934404577 #574, triangle 192
0.8962829736210869 #575, triangle 192
1.2789644012945192 #576, triangle 192
-0.23295773014553312 #577, triangle 193
-0.6176678806902018 #578, triangle 193
-0.38864681577654575 #579, triangle 193
-1.0227903700327188 #580, triangle 194
1.3875164137173037 #581, triangle 194
4.066486127998275 #582, triangle 194
-1.3179984177215143 #583, triangle 195
0.8912025316455604 #584, triangle 195
3.8368037974683618 #585, triangle 195
-0.4926627823421966 #586, triangle 196
-0.7600284539015868 #587, triangle 196
-0.6001029485329809 #588, triangle 196
-0.4853613565391619 #589, triangle 197
-0.2087415294331273 #590, triangle 197
-0.5228950297738065 #591, triangle 197
0.14200774336283814 #592, triangle 198
0.39992260061919066 #593, triangle 198
0.6576094164456219 #594, triangle 198
0.07473552338530137 #595, triangle 199
-0.10020583832335547 #596, triangle 199
-0.02209976798143807 #597, triangle 199
0.2997634298824821 #598, triangle 200
-0.6463199881187247 #599, triangle 200
-0.06264074374327248 #600, triangle 200
0.876571164510182 #601, triangle 201
1.278938356164385 #602, triangle 201
0.530159705159703 #603, triangle 201
2.4612707478136966 #604, triangle 202
1.7255201474848252 #605, triangle 202
2.213336094429427 #606, triangle 202
-0.4406136409170271 #607, triangle 203
-0.35812070052347844 #608, triangle 203
-0.5626889733840306 #609, triangle 203
-0.3676081795618849 #610, triangle 204
0.2821116571116624 #611, triangle 204
-0.5001206384558308 #612, triangle 204
-0.11835414707257705 #613, triangle 205
0.017193968154038838 #614, triangle 205
-0.32586139175594786 #615, triangle 205
3.886743506386855 #616, triangle 206
-2.441493988232262 #617, triangle 206
0.6160965496816039 #618, triangle 206
0.7868139514655905 #619, triangle 207
0.36148192590369976 #620, triangle 207
0.6578975283759639 #621, triangle 207
-0.937540057988709 #622, triangle 208
-1.543655548254918 #623, triangle 208
-1.1323930186709854 #624, triangle 208
-0.43307873016670795 #625, triangle 209
-0.3434446394494218 #626, triangle 209
0.26452618931976557 #627, triangle 209
2.2784671415218534 #628, triangle 210
-0.38233325897836823 #629, triangle 210
0.8248942268322684 #630, triangle 210
0.7569883966244634 #631, triangle 211
1.4139416315049356 #632, triangle 211
-0.42552742616032607 #633, triangle 211
0.366097040723761 #634, triangle 212
-0.41768018353544073 #635, triangle 212
-0.317929638582286 #636, triangle 212
-0.22143311902008114 #637, triangle 213
-0.8235363259165216 #638, triangle 213
-0.41049621936306546 #639, triangle 213
-0.5308628069384979 #640, triangle 214
-0.2938630999213186 #641, triangle 214
-0.5640132061628754 #642, triangle 214
-0.16781532212763922 #643, triangle 215
-0.5215596986402223 #644, triangle 215
-0.4807968794021365 #645, triangle 215
-0.4455677675534298 #646, triangle 216
-0.18586300327994026 #647, triangle 216
-0.4817164080350733 #648, triangle 216
-0.5708516349438743 #649, triangle 217
-0.5196765816808325 #650, triangle 217
-0.48343127088374294 #651, triangle 217
-0.5631871653836548 #652, triangle 218
-0.6740566809067311 #653, triangle 218
-0.6094771323174345 #654, triangle 218
-0.5581314854778715 #655, triangle 219
-0.5246176576288799 #656, triangle 219
-0.28560778505611567 #657, triangle 219
-0.7149668626514043 #658, triangle 220
-0.6734618945755239 #659, triangle 220
-0.7725186338208526 #660, triangle 220
-0.06703668551149163 #661, triangle 221
-0.4981807399353857 #662, triangle 221
-0.43252516514050465 #663, triangle 221
-0.9106665580785791 #664, triangle 222
-0.7238842330929613 #665, triangle 222
-0.5978433739955876 #666, triangle 222
-0.5534699434251807 #667, triangle 223
-0.4151383051745518 #668, triangle 223
-0.32220792200228643 #669, triangle 223
0.5508325171400599 #670, triangle 224
0.7479527342676687 #671, triangle 224
0.34635119726338903 #672, triangle 224
-0.28016524403589427 #673, triangle 225
-0.0343454071969664 #674, triangle 225
-0.7580916873791779 #675, triangle 225
-0.1923365951676977 #676, triangle 226
-0.4157566000038794 #677, triangle 226
-0.38789267513501335 #678, triangle 226
0.5702610000536061 #679, triangle 227
-0.017626024492904138 #680, triangle 227
0.37219831339088333 #681, triangle 227
-0.3317455252681833 #682, triangle 228
-0.607515978984705 #683, triangle 228
-0.4434722090411567 #684, triangle 228
0.08101830082570298 #685, triangle 229
0.1638161381705178 #686, triangle 229
0.26719033445463974 #687, triangle 229
-0.6879965346699601 #688, triangle 230
-0.6454821518001654 #689, triangle 230
-0.7484869378686888 #690, triangle 230
-0.04199915182771203 #691, triangle 231
0.021289331268167046 #692, triangle 231
-0.12394768634820677 #693, triangle 231
-0.7616850828729259 #694, triangle 232
-0.30984000000000456 #695, triangle 232
-0.10656586578292 #696, triangle 232
-0.7591147472204817 #697, triangle 233
-0.3928420367659083 #698, triangle 233
-0.21050891116679432 #699, triangle 233
0.6587420886075896 #700, triangle 234
-0.96493670886077 #701, triangle 234
-0.03712025316456 #702, triangle 234
-0.9286392405062949 #703, triangle 235
0.10806962025317512 #704, triangle 235
0.8856012658228126 #705, triangle 235
0.28645380378514035 #706, triangle 236
1.6992407117602697 #707, triangle 236
-1.1860954037987583 #708, triangle 236
-0.1258701705534197 #709, triangle 237
0.639505743125628 #710, triangle 237
1.6600069613644048 #711, triangle 237
-1.568567026194161 #712, triangle 238
-0.17244118314547754 #713, triangle 238
1.4901800617963497 #714, triangle 238
-0.0784757264659639 #715, triangle 239
0.7765790847398448 #716, triangle 239
-1.2185488080737856 #717, triangle 239
-0.13743687730313392 #718, triangle 240
0.40977024314073746 #719, triangle 240
-0.7963064427756653 #720, triangle 240
-0.7592780324400485 #721, triangle 241
-0.3291390981756901 #722, triangle 241
-0.07447918931848986 #723, triangle 241
-0.1774796010879466 #724, triangle 242
-0.7982388301051063 #725, triangle 242
-0.414811214249882 #726, triangle 242
-0.14086786575870794 #727, triangle 243
0.8325943728504218 #728, triangle 243
-1.2228362993257567 #729, triangle 243
-0.791786582108322 #730, triangle 244
-0.5664866416665332 #731, triangle 244
0.087213488539541 #732, triangle 244
-0.878286929621032 #733, triangle 245
-0.58101374570449 #734, triangle 245
0.560918003565088 #735, triangle 245
0.709943820224711 #736, triangle 246
-1.0870083207261643 #737, triangle 246
-0.7850660792951385 #738, triangle 246
0.4121212121212279 #739, triangle 247
0.6334470761407619 #740, triangle 247
0.7799061301312735 #741, triangle 247
-1.557265193370189 #742, triangle 248
-0.8858400000000216 #743, triangle 248
-0.5837821043910454 #744, triangle 248
0.8813829787234021 #745, triangle 249
6.690086206895756 #746, triangle 249
0.7111143867924626 #747, triangle 249
-0.24721915380070822 #748, triangle 250
-0.08288889389806653 #749, triangle 250
0.08237003739512949 #750, triangle 250
