TAPERS FOR JACOBIAN
-0.5064161896793024 -0.39880444064901793 #453, triangle 151
-0.18877230485546154 0.12141416769660668 #454, triangle 152
0.2109211468751789 0.6440100131124182 #455, triangle 152
-0.5179205354933673 -0.26568170388593276 #456, triangle 152
-1.104084756445272 -0.23635673384162756 #457, triangle 153
-0.5061079565468563 -0.44681796305208965 #458, triangle 153
-0.19611935121102522 -0.4445088940448552 #459, triangle 153
-0.506260737893479 -0.4257461561652072 #460, triangle 154
-0.1960230064452726 -0.31820069204151913 #461, triangle 154
-1.106862166444041 -0.2521711501800471 #462, triangle 154
-0.19252024245271254 0.6505615043092294 #463, triangle 155
0.20734245803257503 0.11838612634931395 #464, triangle 155
0.4886832088196744 -0.2677836566725429 #465, triangle 155
0.8811766809236358 -0.21487823175393791 #466, triangle 156
0.20518412960323967 -0.7048834290495584 #467, triangle 156
0.4919777754668483 -0.4773836831413048 #468, triangle 156
-0.3926210941136335 0.5225552078051524 #469, triangle 157
-0.17153459420638076 0.18594508094856996 #470, triangle 157
2.413563501849443 -0.21357783077049494 #471, triangle 157
0.20505199721585046 -0.6374310382743545 #472, triangle 158
0.49218032616977037 -0.4706998652441075 #473, triangle 158
0.8839592285535015 -0.21943543943723226 #474, triangle 158
0.19170504834965055 0.1819636938289963 #475, triangle 159
0.5131656274089287 -0.21725812414352827 #476, triangle 159
-0.2081264307744395 0.5291681386661061 #477, triangle 159
-0.20417813086496295 0.462795225598911 #478, triangle 160
0.19577776652503517 0.22492379669667922 #479, triangle 160
0.506649884866799 -0.1734200181433384 #480, triangle 160
0.20493998540023628 -0.5620499142693881 #481, triangle 161
0.49235211117303224 -0.46231228277264047 #482, triangle 161
0.8863273376144193 -0.22526264890764455 #483, triangle 161
0.2067335222517512 -0.5918420491939078 #484, triangle 162
0.48961004830217364 -0.46575402327161236 #485, triangle 162
0.8494072833546782 -0.22285672620250915 #486, triangle 162
0.8960903982113733 -0.2508654029426796 #487, triangle 163
0.20448242065312613 -0.3272286648341844 #488, triangle 163
0.493054590690986 -0.4274427807636707 #489, triangle 163
-1.1049922171466973 -0.24285527861151032 #490, triangle 164
-0.5061579294081703 -0.43801902461120273 #491, triangle 164
-0.19608783418785636 -0.387770320656231 #492, triangle 164
0.2144503691407386 -0.43520166983854214 #493, triangle 165
0.47801691757246306 -0.4454407439035963 #494, triangle 165
0.7116572955519489 -0.23736419941110679 #495, triangle 165
0.36829268292681455 -0.4658466992347944 #496, triangle 166
0.09052631578948553 -0.2227922282829185 #497, triangle 166
0.30011587485516683 -0.5926653991170114 #498, triangle 166
0.3952048558421927 -0.46418451826077245 #499, triangle 167
