TAPERS FOR JACOBIAN
-0.7708222281449899 0.22575181990007054 #379, triangle 127
0.21091874432059368 -0.5562041441586725 #380, triangle 127
0.48328172923157775 0.4616161334411853 #381, triangle 127
0.23272589217919473 0.20558631701872304 #382, triangle 128
0.5596787593464437 -0.8727792452147528 #383, triangle 128
0.164358073185859 0.491361858527094 #384, triangle 128
0.6097457507282504 0.58834666621183 #385, triangle 129
-0.3077180384898471 0.24532884085240197 #386, triangle 129
17.01741149158069 0.14887789471086443 #387, triangle 129
2.1996290285182107 0.24682986370109844 #388, triangle 130
0.09676454086403215 -0.35656386844313226 #389, triangle 130
0.7000231910946615 0.4327346398098675 #390, triangle 130
0.5373096216019727 0.5428401013966904 #391, triangle 131
-0.6078694490248464 0.22448110092524884 #392, triangle 131
-1.95222578150891 0.17392290935495566 #393, triangle 131
0.6981986415985821 0.6365039170689191 #394, triangle 132
-0.15990403671638356 0.2632049006698383 #395, triangle 132
2.229350441058746 0.1249337050384197 #396, triangle 132
0.8449197860962657 0.30776263853889335 #397, triangle 133
-0.05321100917429157 -0.06645545166523589 #398, triangle 133
1.2532751091703092 0.35992393850151044 #399, triangle 133
0.5352100423206209 0.5664938514932085 #400, triangle 134
-0.6226503050661552 0.23587648170516728 #401, triangle 134
-1.869518513837977 0.16058866851207484 #402, triangle 134
0.5315957212982632 0.56669759888644 #403, triangle 135
-0.6495060066543099 0.23596911347864327 #404, triangle 135
-1.7390349702779249 0.1604768553324016 #405, triangle 135
-0.7323049303500796 0.2513655608802865 #406, triangle 136
0.21317699426411368 -0.32374488520814254 #407, triangle 136
0.47990737228754693 0.42679200441370113 #408, triangle 136
-0.6688503347491169 0.24779047208449984 #409, triangle 137
0.21724299503327044 -0.34937637564196533 #410, triangle 137
0.4739015976761054 0.4314683153013934 #411, triangle 137
0.20761141271431918 -0.0770589652311163 #412, triangle 138
0.5123025049266956 0.7997704906631594 #413, triangle 138
0.19224094383889245 1.4009190920484227 #414, triangle 138
0.21755725190839978 -0.6028960294719599 #415, triangle 139
0.5297157622739015 0.5380347953932844 #416, triangle 139
0.18163672654690902 -1.9820942739639142 #417, triangle 139
0.5252051925074948 0.5339955522609348 #418, triangle 140
-0.701906113133058 0.21986614394940246 #419, triangle 140
-1.5391859323395434 0.17909563314796179 #420, triangle 140
0.5239642178934422 0.5370521522467588 #421, triangle 141
-0.7128957252727585 0.22148445101778746 #422, triangle 141
-1.5042724302588633 0.177296096738371 #423, triangle 141
0.8465243861644721 0.31711042749549 #424, triangle 142
-0.052458266636165145 -0.03989981563293412 #425, triangle 142
1.2490230134606572 0.349960859354616 #426, triangle 142
-0.7252694774184734 0.22660130186795302 #427, triangle 143
0.213605763951651 -0.5462148016023864 #428, triangle 143
0.4792698370208702 0.46041010831798546 #429, triangle 143
0.5432481105020646 0.6310886255563906 #430, triangle 144
-0.568993354444494 0.2613707134313312 #431, triangle 144
-2.2192893913395215 0.12750690402097226 #432, triangle 144
0.20837216772563785 -0.4130262112787919 #433, triangle 145
0.513578882556323 0.5754235558277229 #434, triangle 145
0.19144885318592553 -5.910299003322495 #435, triangle 145
-0.8221490325236721 0.25890714202492976 #436, triangle 146
0.2081256465719922 -0.27485514313579235 #437, triangle 146
0.4874942102825392 0.41711258000210005 #438, triangle 146
-0.8279369842460524 0.2780688661279541 #439, triangle 147
0.20782499522366923 -0.17516803341091286 #440, triangle 147
0.4879502374647989 0.39359313967584236 #441, triangle 147
