SKEWS FOR JACOBIAN
0.34163863911959697 #683, triangle 228
-2.6482824534772478 #684, triangle 228
0.08101830082570285 #685, triangle 229
0.8230586715711647 #686, triangle 229
-0.8565326445973033 #687, triangle 229
-0.6879965346699582 #688, triangle 230
-0.7969898506057547 #689, triangle 230
-0.7484869378686864 #690, triangle 230
-0.04199915182771372 #691, triangle 231
-0.18365643590730424 #692, triangle 231
-0.12394768634820537 #693, triangle 231
0.471180081855388 #694, triangle 232
-0.30984000000000916 #695, triangle 232
-0.10656586578292 #696, triangle 232
0.38036945656986737 #697, triangle 233
-0.39284203676591156 #698, triangle 233
-0.21050891116679432 #699, triangle 233
-1.6607990506329169 #700, triangle 234
6.457594936709019 #701, triangle 234
-7.459651898734517 #702, triangle 234
7.365031645569854 #703, triangle 235
0.10806962025317512 #704, triangle 235
0.8856012658227863 #705, triangle 235
0.28645380378514035 #706, triangle 236
-2.0700642220841057 #707, triangle 236
-1.1860954037987583 #708, triangle 236
-0.12587017055340338 #709, triangle 237
8.803515489036087 #710, triangle 237
-6.504002784545983 #711, triangle 237
-1.568567026194161 #712, triangle 238
9.146180641950654 #713, triangle 238
-22.921555015619134 #714, triangle 238
-0.0784757264659755 #715, triangle 239
-2.0736036192796248 #716, triangle 239
-1.218548808073774 #717, triangle 239
-0.13743687730313392 #718, triangle 240
-1.2444590569759877 #719, triangle 240
-0.7963064427756653 #720, triangle 240
1.0273530579824963 #721, triangle 241
-0.3291390981756901 #722, triangle 241
-0.07447918931850435 #723, triangle 241
-1.1527569709563548 #724, triangle 242
0.9492184010719049 #725, triangle 242
-20.428325688069787 #726, triangle 242
-0.14086786575868473 #727, triangle 243
-1.9082701918426572 #728, triangle 243
-1.2228362993257567 #729, triangle 243
-0.791786582108322 #730, triangle 244
-1.9782142134035394 #731, triangle 244
-1.284111226122136 #732, triangle 244
-0.878286929621032 #733, triangle 245
-1.9812841530054872 #734, triangle 245
-1.41376508820797 #735, triangle 245
0.709943820224711 #736, triangle 246
-1.0870083207261643 #737, triangle 246
-0.7850660792951516 #738, triangle 246
0.4121212121212079 #739, triangle 247
1.02208787735103 #740, triangle 247
1.420484682213126 #741, triangle 247
0.2747271487039622 #742, triangle 248
-0.8858400000000223 #743, triangle 248
-0.5837821043910454 #744, triangle 248
1.5339830508475014 #745, triangle 249
1.04873087621697 #746, triangle 249
1.1445898437500053 #747, triangle 249
-0.24721915380070875 #748, triangle 250
0.5837982549561749 #749, triangle 250
9.285422877764942 #750, triangle 250
2.58729533562146 #751, triangle 251
0.7611428571428366 #752, triangle 251
1.4747588754360763 #753, triangle 251
-2.562484001433493 #754, triangle 252
-0.09741834260448168 #755, triangle 252
