TAPERS FOR JACOBIAN
-0.5187510431511492 0.11048245578613336 #346, triangle 116
0.21140202785123913 -0.39949179556585324 #347, triangle 116
-0.188263420122147 -0.27314756765878434 #348, triangle 116
0.07145541226242506 0.5000000000000012 #349, triangle 117
-0.37144575085334847 -0.2 #350, triangle 117
-0.2972819252867968 0.2 #351, triangle 117
-0.48194573212188807 -0.1173170806351593 #352, triangle 118
-0.2118106097363728 0.26851944914366593 #353, triangle 118
0.18783005405855796 0.4051270632694371 #354, triangle 118
-0.17301540063983434 0.3214107021655569 #355, triangle 119
0.22527922496558853 0.3454730709217181 #356, triangle 119
-0.5444104322272525 -0.02567786615017197 #357, triangle 119
0.5552348257221286 0.0480410908947869 #358, triangle 120
0.1668471423173854 -0.31012334911057593 #359, triangle 120
-0.23061538862745473 -0.3573805197832486 #360, triangle 120
0.4596427673910285 -0.060547886576994586 #361, triangle 121
-0.1708809062147445 0.3646708143924809 #362, triangle 121
0.22714313504756406 0.3034027747435336 #363, triangle 121
-0.20389150847764398 -0.3381086189992109 #364, triangle 122
0.5061857973588525 0.010481616016936523 #365, triangle 122
0.19607025998085548 -0.3285920094315525 #366, triangle 122
-0.555463095015581 -0.01432792056334286 #367, triangle 123
-0.16671868113085103 0.32680958232821894 #368, triangle 123
0.23072490543189259 0.33992155420726855 #369, triangle 123
0.5437806931164795 0.010705824476816644 #370, triangle 124
0.1733789424278536 -0.32848874696928776 #371, triangle 124
-0.2249599095962534 -0.3382133824263181 #372, triangle 124
-0.44165124128920374 -0.05485121689167054 #373, triangle 125
-0.24015478371843987 0.30650214224507305 #374, triangle 125
0.15536438234930372 0.3612896774377888 #375, triangle 125
0.5354040508365875 0.02553621560920372 #376, triangle 126
0.17826482342045957 -0.3214793963562412 #377, triangle 126
-0.22061499992086875 -0.3454018596357178 #378, triangle 126
0.4699097245536305 -0.012014239478878636 #379, triangle 127
-0.17897042362665744 0.3388270005351647 #380, triangle 127
0.2199791915375529 0.3278845666973399 #381, triangle 127
0.22506338575176082 -0.283508470473819 #382, triangle 128
-0.17326120224132516 -0.3871827563696196 #383, triangle 128
0.46259620789435335 0.09445724427590285 #384, triangle 128
-0.19988736284918343 -0.3227092701429409 #385, triangle 129
-0.5001760327253172 0.022988283515718546 #386, triangle 129
0.20011260544192666 -0.34412944437256415 #387, triangle 129
0.1762097531456707 0.32010899834409245 #388, triangle 130
0.5389078102284447 -0.028348896343938775 #389, triangle 130
-0.22245473748479805 0.34682530178834287 #390, triangle 130
0.20342123545670146 0.32687191955775924 #391, triangle 131
0.49468839258568886 -0.01419425003487859 #392, triangle 131
-0.19654924997243606 0.3398579848183884 #393, triangle 131
-0.2311779157329811 -0.3657538632122256 #394, triangle 132
0.5564100093489366 0.062336102492241405 #395, triangle 132
0.1661864979750976 -0.30241632227558823 #396, triangle 132
-0.17984714518024608 0.3323219077421574 #397, triangle 133
0.21918621243538067 0.33434629572864666 #398, triangle 133
-0.5327254180279172 -0.002267108785738264 #399, triangle 133
0.18435120274096553 -0.3223951976947315 #400, triangle 134
-0.21505963434728748 -0.34445392681170744 #401, triangle 134
0.5251903687937431 0.023641094565588022 #402, triangle 134
-0.5257460208865701 -0.007215151944454943 #403, triangle 135
-0.18401636464425009 0.3300875679855319 #404, triangle 135
0.2153694847558946 0.33659497848334186 #405, triangle 135
-0.1935668401043404 -0.3255770854354153 #406, triangle 136
-0.5101745394098885 0.016958309571690106 #407, triangle 136
0.20633133369070555 -0.3411808825367738 #408, triangle 136
0.19817006823556446 0.33973581094327215 #409, triangle 137
-0.4971634409719839 -0.01393710655584218 #410, triangle 137
-0.20182159826312704 0.32699175841057515 #411, triangle 137
-0.5031494140624967 0.0014406241226980877 #412, triangle 138
0.20199800586623887 -0.33397577024479225 #413, triangle 138
-0.19799196396431007 -0.33269151491364074 #414, triangle 138
0.5167051185438521 -0.010565160937603636 #415, triangle 139
-0.21021354416326193 0.33814764298126126 #416, triangle 139
0.18951883113399917 0.3285535407874569 #417, triangle 139
-0.18990335346145892 -0.3193898519680936 #418, triangle 140
-0.5160804322934448 0.02981392112089063 #419, triangle 140
0.20984806544872675 -0.34757467553293586 #420, triangle 140
-0.48728692380261984 0.028244461593482654 #421, triangle 141
0.1915633137761959 -0.3467720918736044 #422, triangle 141
-0.20826241766067233 -0.3201601221985218 #423, triangle 141
-0.49057838094383965 -0.030013048135587927 #424, triangle 142
-0.2060987887531478 0.3192918197922877 #425, triangle 142
0.1938067834482123 0.34767695613507943 #426, triangle 142
-0.51298330218316 0.002667819012674665 #427, triangle 143
0.20801783892546555 -0.33452645776573725 #428, triangle 143
-0.19181815937388813 -0.3321423404050702 #429, triangle 143
0.175837673867489 -0.32725317075936533 #430, triangle 144
-0.22278592382572987 -0.33946945886854385 #431, triangle 144
0.5395452048375375 0.013375398550137915 #432, triangle 144
-0.17616348972790014 0.3572323626029376 #433, triangle 145
0.22249594803127598 0.3102613993037482 #434, triangle 145
0.46627269561372064 -0.04777810200120208 #435, triangle 145
-0.19847167053792822 -0.33566318024103003 #436, triangle 146
0.49762784648098896 0.005178809912448915 #437, triangle 146
0.20152251221140535 -0.3310116003492568 #438, triangle 146
0.1960432533784168 0.3575490948032574 #439, triangle 147
-0.49392278465932565 -0.04833988136507569 #440, triangle 147
-0.20391799038354358 0.309966345952439 #441, triangle 147
0.20413410755239808 -0.3239912544027251 #442, triangle 148
-0.19582271912658275 -0.34280818447476696 #443, triangle 148
0.4935901426487779 0.020308223734843943 #444, triangle 148
-0.20413432986983704 0.3561994329576076 #445, triangle 149
0.19582249214136224 0.31122551313766056 #446, triangle 149
0.5065788873168712 -0.04593443230227962 #447, triangle 149
-0.5074606602900349 -0.04174325839598562 #448, triangle 150
-0.19526754609151747 0.3133935193683855 #449, triangle 150
0.204677118291632 0.3538879295348587 #450, triangle 150
-0.19552907729499353 -0.31675751549888903 #451, triangle 151
-0.5070448737629424 0.03511299061715628 #452, triangle 151
0.2044215022183617 -0.3503317963063367 #453, triangle 151
0.2162839396388661 0.3360861918725099 #454, triangle 152
-0.527395362568975 -0.00610568919529676 #455, triangle 152
-0.1830250111256351 0.3305917953933511 #456, triangle 152
-0.21714535460098694 -0.35381809854197 #457, triangle 153
0.5289620897457464 0.041615212923726386 #458, triangle 153
0.18208682610277535 -0.31345924225879085 #459, triangle 153
-0.2016320254817547 0.3244233499816331 #460, triangle 154
0.19836128847081022 0.3423640114728531 #461, triangle 154
-0.4974577396229739 -0.019399285137785018 #462, triangle 154
0.46190613369199424 0.05823602126663847 #463, triangle 155
0.22554793812434337 -0.3046684418294507 #464, triangle 155
-0.17270898924003647 -0.36328611467845906 #465, triangle 155
0.17123894891610028 0.34112304039043256 #466, triangle 156
-0.46008353095461046 -0.016838225449504803 #467, triangle 156
-0.22683177589120238 0.3256335943429608 #468, triangle 156
0.5276592938628583 -0.015814032348652307 #469, triangle 157
-0.2164295451441402 0.34063107448928526 #470, triangle 157
0.18286672507107732 0.3261146127092701 #471, triangle 157
-0.20832137331363584 -0.3468523502556872 #472, triangle 158
0.5134933861292639 0.028401963306796483 #473, triangle 158
0.19150183569214657 -0.3200830133608777 #474, triangle 158
0.4869897590598796 -0.02215464217153416 #475, triangle 159
-0.1913586529793269 0.34371659500807156 #476, triangle 159
0.20845861250574102 0.32310930972730334 #477, triangle 159
0.21770924571731498 -0.3094194320813325 #478, triangle 160
-0.18147039077569188 -0.358136961870634 #479, triangle 160
0.473218576339688 0.049378184005814736 #480, triangle 160
-0.46869925595599177 -0.04752549544237913 #481, triangle 161
-0.22081427909506343 0.31039387577148797 #482, triangle 161
0.17804318259095286 0.3570902469631992 #483, triangle 161
0.4391422741139934 0.04079801540884943 #484, triangle 162
0.24201744817953053 -0.31387798253795257 #485, triangle 162
-0.15305084232083557 -0.35337351734360106 #486, triangle 162
-0.17797168641071706 -0.35507299195348135 #487, triangle 163
0.4686062931051642 0.04390339642946473 #488, triangle 163
0.22087851727476152 -0.3122802064017555 #489, triangle 163
-0.507924485696409 -0.0001054564721922529 #490, triangle 164
-0.19497610331124007 0.33328645555085473 #491, triangle 164
0.20496158051891245 0.33338021441233345 #492, triangle 164
-0.445292682483849 -0.01794964980226998 #493, triangle 165
-0.23747272171222022 0.32510969206419144 #494, triangle 165
0.15865390114729624 0.3416596839837187 #495, triangle 165
0.19215803984347146 0.33487916827237774 #496, triangle 166
-0.4881533779834863 -0.0034501286335661898 #497, triangle 166
-0.20769117542836232 0.33179107451064865 #498, triangle 166
-0.20011676112966867 0.3247811689058081 #499, triangle 167
0.19988320477748342 0.3419966327018872 #500, triangle 167
-0.4998176006670566 -0.01864443154603714 #501, triangle 167
0.19297522317466032 -0.3444994276960694 #502, triangle 168
