TAPERS FOR SHAPE PARAMETERS
0.04824591723574014 0.04823738524518522 #342, triangle 114
0.038384835503368846 0.05194098070109925 #343, triangle 115
0.037177259114474275 0.05338486500671411 #344, triangle 115
0.046340503557867674 0.048895476344400925 #345, triangle 115
0.036709231985161773 0.054781190048979966 #346, triangle 116
0.04887872485096347 0.04874465678526165 #347, triangle 116
0.036642320426137034 0.05485580091837953 #348, triangle 116
0.04239723197033501 0.04122863059691624 #349, triangle 117
0.036360644579117106 0.04455398145642519 #350, triangle 117
0.03585316565542537 0.04523423012250109 #351, triangle 117
0.03600546789448094 0.03905222226470482 #352, triangle 118
0.03593252969607253 0.03916402827060701 #353, triangle 118
0.038053452285096385 0.03786915837860369 #354, triangle 118
0.036285451860111416 0.04535888168622344 #355, triangle 119
0.03624034817116289 0.04541894006212652 #356, triangle 119
0.04225023452233667 0.04214687613008614 #357, triangle 119
0.03588895911490633 0.037758955348711674 #358, triangle 120
0.03764479937349569 0.036088276512050495 #359, triangle 120
0.03648362774175712 0.03679686396438062 #360, triangle 120
0.036475248309078445 0.03916261717214624 #361, triangle 121
0.036083651769946365 0.039762632466874274 #362, triangle 121
0.03879229142477346 0.03780306472902342 #363, triangle 121
0.03604269476652983 0.03957140286665375 #364, triangle 122
0.03581631151468704 0.03991251329297542 #365, triangle 122
0.038638726529367555 0.03807322838646932 #366, triangle 122
0.037139565914515976 0.03678149604852877 #367, triangle 123
0.03661020365867581 0.037655619663155115 #368, triangle 123
0.03778718739861093 0.03638356698374325 #369, triangle 123
0.03600007592865011 0.03989877496103409 #370, triangle 124
0.03578645465301054 0.04021779200534998 #371, triangle 124
0.03881373149530394 0.038283313231206026 #372, triangle 124
0.0362045761904332 0.04523770741773418 #373, triangle 125
0.03608102749134017 0.045401925358321986 #374, triangle 125
0.04225464782732466 0.04197189317725723 #375, triangle 125
0.03565481392309149 0.04165721932284485 #376, triangle 126
0.040130918251598126 0.03913807628660225 #377, triangle 126
0.0352385110607354 0.04224348958004545 #378, triangle 126
0.03537887621798068 0.03991058387463012 #379, triangle 127
0.03533013210848548 0.03998248513979734 #380, triangle 127
0.03834909300643958 0.038229071058976355 #381, triangle 127
0.03595860524163315 0.039850642599582174 #382, triangle 128
0.03831152131904924 0.03851263287138123 #383, triangle 128
0.03603907775267495 0.03972930058575785 #384, triangle 128
0.03560675187286476 0.04017263408385468 #385, triangle 129
0.03884224526522673 0.03798738780509364 #386, triangle 129
0.03595094120196001 0.03965843590734344 #387, triangle 129
0.042291639670866576 0.04214744300312458 #388, triangle 130
0.03623088595257423 0.04540870362812356 #389, triangle 130
0.03616781938447049 0.04549241982632619 #390, triangle 130
0.0353059611883652 0.0399330811691252 #391, triangle 131
0.039080457420473065 0.0368617994841795 #392, triangle 131
0.036189703018295404 0.03859203013313105 #393, triangle 131
0.0420463567381768 0.04133443017842756 #394, triangle 132
0.03637950329354792 0.04444313030397981 #395, triangle 132
0.03607225923189759 0.044858582837660504 #396, triangle 132
0.03675875033996976 0.05501232915906009 #397, triangle 133
0.03675985644151084 0.0550110973146725 #398, triangle 133
0.04897199394749431 0.048969779868900845 #399, triangle 133
0.039477589084670216 0.04739880126821374 #400, triangle 134
0.03659832199709165 0.051104968511444755 #401, triangle 134
0.042065914040720534 0.048514486866384106 #402, triangle 134
0.037404869069605745 0.04212617266489047 #403, triangle 135
0.0425763723545737 0.03654543926368699 #404, triangle 135
0.039724880265101424 0.03842366397748971 #405, triangle 135
0.03985408313366069 0.04680872910851636 #406, triangle 136
0.03799642833355859 0.04931621857580955 #407, triangle 136
0.042666401331296955 0.04696885641298311 #408, triangle 136
0.04023234341815681 0.039318791144797915 #409, triangle 137
0.03427063263917055 0.047814669953903585 #410, triangle 137
0.03360141271727115 0.04809880931724079 #411, triangle 137
0.039638401776101374 0.04246735418524517 #412, triangle 138
0.0371393638391007 0.04272808432912484 #413, triangle 138
0.035947598915975786 0.04439436887735872 #414, triangle 138
0.0395673396222407 0.04880528798669615 #415, triangle 139
0.04718047423996103 0.044561221534297396 #416, triangle 139
0.050320376722691955 0.038411767180802775 #417, triangle 139
0.05075314186616101 0.05063582401202366 #418, triangle 140
0.05019347694601243 0.05155722201888419 #419, triangle 140
0.05160046189978232 0.0501193666957803 #420, triangle 140
0.04757502797347373 0.0431780538153274 #421, triangle 141
0.052348331487796024 0.032701734813513704 #422, triangle 141
0.03491479726544998 0.04990940254534067 #423, triangle 141
0.04828565532669268 0.032868547387135044 #424, triangle 142
0.04870235408580387 0.03182740070110494 #425, triangle 142
0.038498955817126146 0.039874081232446464 #426, triangle 142
0.0403596348622037 0.03909993596916315 #427, triangle 143
0.04495622029455038 0.03596537254937811 #428, triangle 143
0.04453679454272091 0.03682482153387389 #429, triangle 143
0.03754197482418439 0.038896910739726606 #430, triangle 144
0.03740207478556822 0.039120891147206745 #431, triangle 144
0.038257630845189856 0.038621308268604604 #432, triangle 144
0.04164108055436133 0.040123998904707595 #433, triangle 145
0.03794155458925903 0.04226802696076645 #434, triangle 145
0.037323517405766234 0.04317538409411925 #435, triangle 145
0.037133126291958474 0.039850750714897104 #436, triangle 146
0.03842059659043132 0.03956558966039497 #437, triangle 146
0.03667947589812041 0.040544923964623544 #438, triangle 146
0.03639383514586349 0.03850464222758583 #439, triangle 147
0.03721607771302986 0.03717165766473733 #440, triangle 147
0.03852072933011054 0.036365451253567056 #441, triangle 147
0.04673180257266619 0.037100347055309534 #442, triangle 148
0.04316807387443565 0.04349291047340863 #443, triangle 148
0.0465431757570693 0.03724234483631079 #444, triangle 148
0.03668356527600288 0.039397357592339366 #445, triangle 149
0.03832256392964748 0.03853447062765305 #446, triangle 149
0.03660022563051331 0.03952633123015497 #447, triangle 149
0.03936927592287603 0.03747876170953999 #448, triangle 150
0.044886969087605116 0.034406837081265976 #449, triangle 150
0.04548978851512336 0.03306098903246667 #450, triangle 150
0.03877255994151715 0.03988727432852267 #451, triangle 151
0.029835744933250863 0.051116476807251864 #452, triangle 151
0.050793828196284994 0.030740424627998777 #453, triangle 151
0.033276996961778126 0.04238413872438386 #454, triangle 152
0.03538413466225997 0.0394370948524788 #455, triangle 152
0.04102069497437198 0.03601233388956195 #456, triangle 152
0.04394222624369143 0.042530248787346465 #457, triangle 153
0.04520755411831174 0.04230814005346725 #458, triangle 153
0.04571115174508221 0.04139647296506756 #459, triangle 153
0.03515089450764783 0.04349173682207038 #460, triangle 154
0.03707455956359281 0.04074271143271165 #461, triangle 154
0.04224321346417361 0.037603043290697115 #462, triangle 154
0.045032962535981075 0.033037886314649 #463, triangle 155
0.03357078837462184 0.04479587229639251 #464, triangle 155
0.0384470089939245 0.03770118115726032 #465, triangle 155
0.027719694845874773 0.05049864360486783 #466, triangle 156
0.0322131963864767 0.04887256779094312 #467, triangle 156
0.035706381505845035 0.04130180798436321 #468, triangle 156
0.036414915320154416 0.03702296602376702 #469, triangle 157
0.03664902180054028 0.03663594015798602 #470, triangle 157
0.037027820906391805 0.03640668727000457 #471, triangle 157
0.03721322576947617 0.05174080077100016 #472, triangle 158
0.03675977578550463 0.05227825129414123 #473, triangle 158
0.04646461071029731 0.04741738287567222 #474, triangle 158
0.0424820705674995 0.0414464642692463 #475, triangle 159
0.045060689349410536 0.036627545083609894 #476, triangle 159
0.04445382604561685 0.03706981121589232 #477, triangle 159
0.038587018608460505 0.035928803169898875 #478, triangle 160
0.03511609039262474 0.04143962554044667 #479, triangle 160
0.04232637747768005 0.03330676150641634 #480, triangle 160
0.0395841174334247 0.03586615673422198 #481, triangle 161
0.037578714402603186 0.03713794212099276 #482, triangle 161
0.036151961819037765 0.039427813359281375 #483, triangle 161
0.04202535536448226 0.03902401430444596 #484, triangle 162
0.042707872253259574 0.03776886629157321 #485, triangle 162
0.04088920214099752 0.03895777921487268 #486, triangle 162
0.04334746684959608 0.0375886365633268 #487, triangle 163
0.04143611233211754 0.04102427810234062 #488, triangle 163
0.04310194746369673 0.0377576562164283 #489, triangle 163
0.027482982771333715 0.05317452323383224 #490, triangle 164
0.03855883301859479 0.0401050431355122 #491, triangle 164
0.05274389387138404 0.028832856999009497 #492, triangle 164
0.036697358803887734 0.03845515106877327 #493, triangle 165
0.038221524049605916 0.03710191883978403 #494, triangle 165
0.03712574359977902 0.03776361766696561 #495, triangle 165
0.03727914445564126 0.03915739971121582 #496, triangle 166
0.03737041240545175 0.03901213613046956 #497, triangle 166
0.03855226726605278 0.038315910698592616 #498, triangle 166
0.036680377834058274 0.039120606844867054 #499, triangle 167
0.03775406997939156 0.03752973975383179 #500, triangle 167
0.036823978455766605 0.03903957885471807 #501, triangle 167
0.053681129992120026 0.04615146155647699 #502, triangle 168
0.046939476291904654 0.05326959262820862 #503, triangle 168
0.0498518234580756 0.048660384841063165 #504, triangle 168
0.0398283380095887 0.03903210973037349 #505, triangle 169
0.037246279352487116 0.0405328545726238 #506, triangle 169
0.03692883333017307 0.04101410274444418 #507, triangle 169
0.027891523728013297 0.04631594119194654 #508, triangle 170
0.035405905826107205 0.043125187136959175 #509, triangle 170
0.031705889755796544 0.04202724306449014 #510, triangle 170
0.03381856090312434 0.039274715562555636 #511, triangle 171
0.0324125512148248 0.041203227115045586 #512, triangle 171
